winner_tie,loser_tie,Winner Conference,Loser Conference,year,date,day,bowl_name,winner_points,loser_points,Winner 2024 Avg Attendance,Winner 2023 Avg Attendance,Winner 5 Yr Avg Attendance,Loser 2024 Avg Attendance,Loser 2023 Avg Attendance,Loser 5 Yr Avg Attendance,Winner Capacity %,Loser Capacity %
Ohio State,Oregon,Big Ten,Big Ten,1957,1958-01-01,Wed,Rose Bowl,10,7,104216,103792,102108,59104,55895,53384,101,109
Iowa,Oregon State,Big Ten,Pac-12,1956,1957-01-01,Tue,Rose Bowl,35,19,69250,69250,67775,35799,36969,33325,100,100
Michigan State,UCLA,Big Ten,Big Ten,1955,1956-01-02,Mon,Rose Bowl,17,14,65307,70211,69959,46805,47951,46075,87,51
Michigan State,UCLA,Big Ten,Big Ten,1953,1954-01-01,Fri,Rose Bowl,28,20,65307,70211,69959,46805,47951,46075,87,51
Illinois,Stanford,Big Ten,ACC,1951,1952-01-01,Tue,Rose Bowl,40,7,54750,49698,40166,26035,33219,34746,90,51
Michigan,California,Big Ten,ACC,1950,1951-01-01,Mon,Rose Bowl,14,6,110548,109971,110235,39173,38684,39992,102,62
Ohio State,California,Big Ten,ACC,1949,1950-01-02,Mon,Rose Bowl,17,14,104216,103792,102108,39173,38684,39992,101,62
Illinois,UCLA,Big Ten,Big Ten,1946,1947-01-01,Wed,Rose Bowl,45,14,54750,49698,40166,46805,47951,46075,90,51
Georgia,UCLA,SEC,Big Ten,1942,1943-01-01,Fri,Rose Bowl,9,0,93033,92746,92760,46805,47951,46075,100,51
Oregon State,Duke,Pac-12,ACC,1941,1942-01-01,Thu,Rose Bowl,20,16,35799,36969,33325,26183,25111,23499,100,74
Stanford,Nebraska,ACC,Big Ten,1940,1941-01-01,Wed,Rose Bowl,21,13,26035,33219,34746,86900,86802,87599,51,101
California,Alabama,ACC,SEC,1937,1938-01-01,Sat,Rose Bowl,13,0,39173,38684,39992,100077,100077,100091,62,100
Pittsburgh,Washington,ACC,Big Ten,1936,1937-01-01,Fri,Rose Bowl,21,0,53077,48122,46653,68865,68814,66220,77,98
Alabama,Stanford,SEC,ACC,1934,1935-01-01,Tue,Rose Bowl,29,13,100077,100077,100091,26035,33219,34746,100,51
Alabama,Washington State,SEC,Pac-12,1930,1931-01-01,Thu,Rose Bowl,24,0,100077,100077,100091,22413,28023,27211,100,69
Georgia Tech,California,ACC,ACC,1928,1929-01-01,Tue,Rose Bowl,8,7,38216,36290,39223,39173,38684,39992,69,62
Stanford,Pittsburgh,ACC,ACC,1927,1928-01-02,Mon,Rose Bowl,7,6,26035,33219,34746,53077,48122,46653,51,77
Stanford,Alabama,ACC,SEC,1926,1927-01-01,Sat,Rose Bowl,7,7,26035,33219,34746,100077,100077,100091,51,100
Alabama,Washington,SEC,Big Ten,1925,1926-01-01,Fri,Rose Bowl,20,19,100077,100077,100091,68865,68814,66220,100,98
Notre Dame,Stanford,Independent,ACC,1924,1925-01-01,Thu,Rose Bowl,27,10,77622,77622,76108,26035,33219,34746,100,51
Washington,Navy,Big Ten,American,1923,1924-01-01,Tue,Rose Bowl,14,14,68865,68814,66220,39825,30804,32300,98,117
California,Ohio State,ACC,Big Ten,1920,1921-01-01,Sat,Rose Bowl,28,0,39173,38684,39992,104216,103792,102108,62,101
Michigan,Stanford,Big Ten,ACC,1901,1902-01-01,Wed,Rose Bowl,49,0,110548,109971,110235,26035,33219,34746,102,51
Clemson,Iowa State,ACC,Big 12,2021,2021-12-29,Wed,Cheez-It Bowl,20,13,80806,81334,80557,57884,60384,58847,99,94
Notre Dame,Iowa State,Independent,Big 12,2019,2019-12-28,Sat,Cheez-It Bowl,33,9,77622,77622,76108,57884,60384,58847,100,94
Syracuse,West Virginia,ACC,Big 12,2018,2018-12-28,Fri,Cheez-It Bowl,34,18,39130,34045,37308,52459,51156,52892,79,87
Oklahoma State,Virginia Tech,Big 12,ACC,2017,2017-12-28,Thu,Cheez-It Bowl,30,21,52202,53891,53999,65632,64733,61137,100,99
Baylor,North Carolina,Big 12,ACC,2015,2015-12-29,Tue,Cheez-It Bowl,49,38,42302,43388,44087,47686,50095,48019,93,94
Clemson,Oklahoma,ACC,SEC,2014,2014-12-29,Mon,Cheez-It Bowl,40,6,80806,81334,80557,83513,83741,83073,99,104
Virginia Tech,Rutgers,ACC,Big Ten,2012,2012-12-28,Fri,Cheez-It Bowl,13,10,65632,64733,61137,48341,49251,42504,99,92
Boston College,Michigan State,ACC,Big Ten,2007,2007-12-28,Fri,Cheez-It Bowl,24,21,39839,36376,35734,65307,70211,69959,89,87
Maryland,Purdue,Big Ten,Big Ten,2006,2006-12-29,Fri,Cheez-It Bowl,24,7,36040,40314,36345,59887,58248,55370,69,97
Clemson,Colorado,ACC,Big 12,2005,2005-12-27,Tue,Cheez-It Bowl,19,10,80806,81334,80557,52514,53180,47579,99,104
Georgia Tech,Syracuse,ACC,ACC,2004,2004-12-21,Tue,Cheez-It Bowl,51,14,38216,36290,39223,39130,34045,37308,69,79
Texas Tech,Clemson,Big 12,ACC,2002,2002-12-23,Mon,Cheez-It Bowl,55,15,58623,54491,54643,80806,81334,80557,97,99
Illinois,Virginia,Big Ten,ACC,1999,1999-12-30,Thu,Cheez-It Bowl,63,21,54750,49698,40166,38999,43293,42796,90,63
Georgia Tech,West Virginia,ACC,Big 12,1997,1997-12-29,Mon,Cheez-It Bowl,35,30,38216,36290,39223,52459,51156,52892,69,87
North Carolina,Arkansas,ACC,SEC,1995,1995-12-30,Sat,Cheez-It Bowl,20,10,47686,50095,48019,73392,65317,62914,94,96
South Carolina,West Virginia,SEC,Big 12,1994,1995-01-02,Mon,Cheez-It Bowl,24,21,79329,77833,74988,52459,51156,52892,102,87
Boston College,Virginia,ACC,ACC,1993,1994-01-01,Sat,Cheez-It Bowl,31,13,39839,36376,35734,38999,43293,42796,89,63
Stanford,Penn State,ACC,Big Ten,1992,1993-01-01,Fri,Cheez-It Bowl,24,3,26035,33219,34746,108379,108409,106750,51,101
Alabama,Colorado,SEC,Big 12,1991,1991-12-28,Sat,Cheez-It Bowl,30,25,100077,100077,100091,52514,53180,47579,100,104
Ohio State,Clemson,Big Ten,ACC,2020,2021-01-01,Fri,Sugar Bowl,49,28,104216,103792,102108,80806,81334,80557,101,99
Georgia,Baylor,SEC,Big 12,2019,2020-01-01,Wed,Sugar Bowl,26,14,93033,92746,92760,42302,43388,44087,100,93
Texas,Georgia,SEC,SEC,2018,2019-01-01,Tue,Sugar Bowl,28,21,102386,101625,97565,93033,92746,92760,102,100
Alabama,Clemson,SEC,ACC,2017,2018-01-01,Mon,Sugar Bowl,24,6,100077,100077,100091,80806,81334,80557,100,99
Oklahoma,Auburn,SEC,SEC,2016,2017-01-02,Mon,Sugar Bowl,35,19,83513,83741,83073,88043,88043,85924,104,100
Ohio State,Alabama,Big Ten,SEC,2014,2015-01-01,Thu,Sugar Bowl,42,35,104216,103792,102108,100077,100077,100091,101,100
Oklahoma,Alabama,SEC,SEC,2013,2014-01-02,Thu,Sugar Bowl,45,31,83513,83741,83073,100077,100077,100091,104,100
Louisville,Florida,ACC,SEC,2012,2013-01-02,Wed,Sugar Bowl,33,23,50863,51252,47415,90017,89587,85791,83,101
Michigan,Virginia Tech,Big Ten,ACC,2011,2012-01-03,Tue,Sugar Bowl,23,20,110548,109971,110235,65632,64733,61137,102,99
Ohio State,Arkansas,Big Ten,SEC,2010,2011-01-04,Tue,Sugar Bowl,31,26,104216,103792,102108,73392,65317,62914,101,96
Florida,Cincinnati,SEC,Big 12,2009,2010-01-01,Fri,Sugar Bowl,51,24,90017,89587,85791,36615,38193,36030,101,96
Utah,Alabama,Big 12,SEC,2008,2009-01-02,Fri,Sugar Bowl,31,17,52962,52499,49833,100077,100077,100091,102,100
Georgia,Hawaii,SEC,Mountain West,2007,2008-01-01,Tue,Sugar Bowl,41,10,93033,92746,92760,12963,11251,14380,100,76
West Virginia,Georgia,Big 12,SEC,2005,2006-01-02,Mon,Sugar Bowl,38,35,52459,51156,52892,93033,92746,92760,87,100
Auburn,Virginia Tech,SEC,ACC,2004,2005-01-03,Mon,Sugar Bowl,16,13,88043,88043,85924,65632,64733,61137,100,99
Ohio State,Texas A&M,Big Ten,SEC,1998,1999-01-01,Fri,Sugar Bowl,24,14,104216,103792,102108,102847,99234,100156,101,100
Virginia Tech,Texas,ACC,SEC,1995,1995-12-31,Sun,Sugar Bowl,28,10,65632,64733,61137,102386,101625,97565,99,102
Florida,West Virginia,SEC,Big 12,1993,1994-01-01,Sat,Sugar Bowl,41,7,90017,89587,85791,52459,51156,52892,101,87
Notre Dame,Florida,Independent,SEC,1991,1992-01-01,Wed,Sugar Bowl,39,28,77622,77622,76108,90017,89587,85791,100,101
Tennessee,Virginia,SEC,ACC,1990,1991-01-01,Tue,Sugar Bowl,23,22,101915,101915,93936,38999,43293,42796,100,63
Syracuse,Auburn,ACC,SEC,1987,1988-01-01,Fri,Sugar Bowl,16,16,39130,34045,37308,88043,88043,85924,79,100
Auburn,Michigan,SEC,Big Ten,1983,1984-01-02,Mon,Sugar Bowl,9,7,88043,88043,85924,110548,109971,110235,100,102
Penn State,Georgia,Big Ten,SEC,1982,1983-01-01,Sat,Sugar Bowl,27,23,108379,108409,106750,93033,92746,92760,101,100
Pittsburgh,Georgia,ACC,SEC,1981,1982-01-01,Fri,Sugar Bowl,24,20,53077,48122,46653,93033,92746,92760,77,100
Georgia,Notre Dame,SEC,Independent,1980,1981-01-01,Thu,Sugar Bowl,17,10,93033,92746,92760,77622,77622,76108,100,100
Alabama,Arkansas,SEC,SEC,1979,1980-01-01,Tue,Sugar Bowl,24,9,100077,100077,100091,73392,65317,62914,100,96
Alabama,Penn State,SEC,Big Ten,1978,1979-01-01,Mon,Sugar Bowl,14,7,100077,100077,100091,108379,108409,106750,100,101
Alabama,Ohio State,SEC,Big Ten,1977,1978-01-02,Mon,Sugar Bowl,35,6,100077,100077,100091,104216,103792,102108,100,101
Pittsburgh,Georgia,ACC,SEC,1976,1977-01-01,Sat,Sugar Bowl,27,3,53077,48122,46653,93033,92746,92760,77,100
Alabama,Penn State,SEC,Big Ten,1975,1975-12-31,Wed,Sugar Bowl,13,6,100077,100077,100091,108379,108409,106750,100,101
Nebraska,Florida,Big Ten,SEC,1974,1974-12-31,Tue,Sugar Bowl,13,10,86900,86802,87599,90017,89587,85791,101,101
Notre Dame,Alabama,Independent,SEC,1973,1973-12-31,Mon,Sugar Bowl,24,23,77622,77622,76108,100077,100077,100091,100,100
Oklahoma,Penn State,SEC,Big Ten,1972,1972-12-31,Sun,Sugar Bowl,14,0,83513,83741,83073,108379,108409,106750,104,101
Oklahoma,Auburn,SEC,SEC,1971,1972-01-01,Sat,Sugar Bowl,40,22,83513,83741,83073,88043,88043,85924,104,100
Arkansas,Georgia,SEC,SEC,1968,1969-01-01,Wed,Sugar Bowl,16,2,73392,65317,62914,93033,92746,92760,96,100
Alabama,Nebraska,SEC,Big Ten,1966,1967-01-02,Mon,Sugar Bowl,34,7,100077,100077,100091,86900,86802,87599,100,101
Missouri,Florida,SEC,SEC,1965,1966-01-01,Sat,Sugar Bowl,20,18,62621,60169,53367,90017,89587,85791,101,101
Alabama,Arkansas,SEC,SEC,1961,1962-01-01,Mon,Sugar Bowl,10,3,100077,100077,100091,73392,65317,62914,100,96
Baylor,Tennessee,Big 12,SEC,1956,1957-01-01,Tue,Sugar Bowl,13,7,42302,43388,44087,101915,101915,93936,93,100
Georgia Tech,Pittsburgh,ACC,ACC,1955,1956-01-02,Mon,Sugar Bowl,7,0,38216,36290,39223,53077,48122,46653,69,77
Georgia Tech,West Virginia,ACC,Big 12,1953,1954-01-01,Fri,Sugar Bowl,42,19,38216,36290,39223,52459,51156,52892,69,87
Maryland,Tennessee,Big Ten,SEC,1951,1952-01-01,Tue,Sugar Bowl,28,13,36040,40314,36345,101915,101915,93936,69,100
Kentucky,Oklahoma,SEC,SEC,1950,1951-01-01,Mon,Sugar Bowl,13,7,59516,60939,57155,83513,83741,83073,97,104
Oklahoma,North Carolina,SEC,ACC,1948,1949-01-01,Sat,Sugar Bowl,14,6,83513,83741,83073,47686,50095,48019,104,94
Texas,Alabama,SEC,SEC,1947,1948-01-01,Thu,Sugar Bowl,27,7,102386,101625,97565,100077,100077,100091,102,100
Georgia,North Carolina,SEC,ACC,1946,1947-01-01,Wed,Sugar Bowl,20,10,93033,92746,92760,47686,50095,48019,100,94
Duke,Alabama,ACC,SEC,1944,1945-01-01,Mon,Sugar Bowl,29,26,26183,25111,23499,100077,100077,100091,74,100
Georgia Tech,Tulsa,ACC,American,1943,1944-01-01,Sat,Sugar Bowl,20,18,38216,36290,39223,20411,20187,18170,69,68
Tennessee,Tulsa,SEC,American,1942,1943-01-01,Fri,Sugar Bowl,14,7,101915,101915,93936,20411,20187,18170,100,68
Boston College,Tennessee,ACC,SEC,1940,1941-01-01,Wed,Sugar Bowl,19,13,39839,36376,35734,101915,101915,93936,89,100
Texas A&M,Tulane,SEC,American,1939,1940-01-01,Mon,Sugar Bowl,14,13,102847,99234,100156,23980,25021,19648,100,79
Tulane,Temple,American,American,1934,1935-01-01,Tue,Sugar Bowl,20,14,23980,25021,19648,13919,13446,22023,79,20
Central Michigan,Washington State,MAC,Pac-12,2021,2021-12-31,Fri,Sun Bowl,24,21,17752,16350,14608,22413,28023,27211,58,69
Stanford,Pittsburgh,ACC,ACC,2018,2018-12-31,Mon,Sun Bowl,14,13,26035,33219,34746,53077,48122,46653,51,77
Stanford,North Carolina,ACC,ACC,2016,2016-12-30,Fri,Sun Bowl,25,23,26035,33219,34746,47686,50095,48019,51,94
Arizona State,Duke,Big 12,ACC,2014,2014-12-27,Sat,Sun Bowl,36,31,48984,48301,47262,26183,25111,23499,87,74
UCLA,Virginia Tech,Big Ten,ACC,2013,2013-12-31,Tue,Sun Bowl,42,12,46805,47951,46075,65632,64733,61137,51,99
Utah,Georgia Tech,Big 12,ACC,2011,2011-12-31,Sat,Sun Bowl,30,27,52962,52499,49833,38216,36290,39223,102,69
Oklahoma,Stanford,SEC,ACC,2009,2009-12-31,Thu,Sun Bowl,31,27,83513,83741,83073,26035,33219,34746,104,51
Oregon State,Pittsburgh,Pac-12,ACC,2008,2008-12-31,Wed,Sun Bowl,3,0,35799,36969,33325,53077,48122,46653,100,77
Oregon,South Florida,Big Ten,American,2007,2007-12-31,Mon,Sun Bowl,56,21,59104,55895,53384,31424,37944,34281,109,47
Oregon State,Missouri,Pac-12,SEC,2006,2006-12-29,Fri,Sun Bowl,39,38,35799,36969,33325,62621,60169,53367,100,101
Arizona State,Purdue,Big 12,Big Ten,2004,2004-12-31,Fri,Sun Bowl,27,23,48984,48301,47262,59887,58248,55370,87,97
Minnesota,Oregon,Big Ten,Big Ten,2003,2003-12-31,Wed,Sun Bowl,31,30,47467,48453,44743,59104,55895,53384,93,109
Purdue,Washington,Big Ten,Big Ten,2002,2002-12-31,Tue,Sun Bowl,34,24,59887,58248,55370,68865,68814,66220,97,98
Washington State,Purdue,Pac-12,Big Ten,2001,2001-12-31,Mon,Sun Bowl,33,27,22413,28023,27211,59887,58248,55370,69,97
Wisconsin,UCLA,Big Ten,Big Ten,2000,2000-12-29,Fri,Sun Bowl,21,20,76057,75391,75328,46805,47951,46075,100,51
Oregon,Minnesota,Big Ten,Big Ten,1999,1999-12-31,Fri,Sun Bowl,24,20,59104,55895,53384,47467,48453,44743,109,93
Arizona State,Iowa,Big 12,Big Ten,1997,1997-12-31,Wed,Sun Bowl,17,7,48984,48301,47262,69250,69250,67775,87,100
Stanford,Michigan State,ACC,Big Ten,1996,1996-12-31,Tue,Sun Bowl,38,0,26035,33219,34746,65307,70211,69959,51,87
Iowa,Washington,Big Ten,Big Ten,1995,1995-12-29,Fri,Sun Bowl,38,18,69250,69250,67775,68865,68814,66220,100,98
Texas,North Carolina,SEC,ACC,1994,1994-12-30,Fri,Sun Bowl,35,31,102386,101625,97565,47686,50095,48019,102,94
Oklahoma,Texas Tech,SEC,Big 12,1993,1993-12-24,Fri,Sun Bowl,41,10,83513,83741,83073,58623,54491,54643,104,97
Baylor,Arizona,Big 12,Big 12,1992,1992-12-31,Thu,Sun Bowl,20,15,42302,43388,44087,46747,47320,42279,93,83
UCLA,Illinois,Big Ten,Big Ten,1991,1991-12-31,Tue,Sun Bowl,6,3,46805,47951,46075,54750,49698,40166,51,90
Pittsburgh,Texas A&M,ACC,SEC,1989,1989-12-30,Sat,Sun Bowl,31,28,53077,48122,46653,102847,99234,100156,77,100
Oklahoma State,West Virginia,Big 12,Big 12,1987,1987-12-25,Fri,Sun Bowl,35,33,52202,53891,53999,52459,51156,52892,100,87
Alabama,Washington,SEC,Big Ten,1986,1986-12-25,Thu,Sun Bowl,28,6,100077,100077,100091,68865,68814,66220,100,98
Georgia,Arizona,SEC,Big 12,1985,1985-12-28,Sat,Sun Bowl,13,13,93033,92746,92760,46747,47320,42279,100,83
Maryland,Tennessee,Big Ten,SEC,1984,1984-12-22,Sat,Sun Bowl,28,27,36040,40314,36345,101915,101915,93936,69,100
North Carolina,Texas,ACC,SEC,1982,1982-12-25,Sat,Sun Bowl,26,10,47686,50095,48019,102386,101625,97565,94,102
Oklahoma,Houston,SEC,Big 12,1981,1981-12-26,Sat,Sun Bowl,40,14,83513,83741,83073,27423,36020,28369,104,68
Nebraska,Mississippi State,Big Ten,SEC,1980,1980-12-27,Sat,Sun Bowl,31,17,86900,86802,87599,48809,54455,54402,101,79
Washington,Texas,Big Ten,SEC,1979,1979-12-22,Sat,Sun Bowl,14,7,68865,68814,66220,102386,101625,97565,98,102
Texas,Maryland,SEC,Big Ten,1978,1978-12-23,Sat,Sun Bowl,42,0,102386,101625,97565,36040,40314,36345,102,69
Texas A&M,Florida,SEC,SEC,1976,1977-01-02,Sun,Sun Bowl,37,14,102847,99234,100156,90017,89587,85791,100,101
Mississippi State,North Carolina,SEC,ACC,1974,1974-12-28,Sat,Sun Bowl,26,24,48809,54455,54402,47686,50095,48019,79,94
Missouri,Auburn,SEC,SEC,1973,1973-12-29,Sat,Sun Bowl,34,17,62621,60169,53367,88043,88043,85924,101,100
North Carolina,Texas Tech,ACC,Big 12,1972,1972-12-30,Sat,Sun Bowl,32,28,47686,50095,48019,58623,54491,54643,94,97
Georgia Tech,Texas Tech,ACC,Big 12,1970,1970-12-19,Sat,Sun Bowl,17,9,38216,36290,39223,58623,54491,54643,69,97
Nebraska,Georgia,Big Ten,SEC,1969,1969-12-20,Sat,Sun Bowl,45,6,86900,86802,87599,93033,92746,92760,101,100
Auburn,Arizona,SEC,Big 12,1968,1968-12-28,Sat,Sun Bowl,34,10,88043,88043,85924,46747,47320,42279,100,83
Georgia,Texas Tech,SEC,Big 12,1964,1964-12-26,Sat,Sun Bowl,7,0,93033,92746,92760,58623,54491,54643,100,97
New Mexico State,Utah State,C-USA,Mountain West,1960,1960-12-31,Sat,Sun Bowl,20,13,14350,14847,14667,16992,19282,19188,47,66
New Mexico State,North Texas,C-USA,American,1959,1959-12-31,Thu,Sun Bowl,28,8,14350,14847,14667,23022,17761,19634,47,74
Wyoming,Texas Tech,Mountain West,Big 12,1955,1956-01-02,Mon,Sun Bowl,21,14,21937,23163,21277,58623,54491,54643,75,97
Cincinnati,Virginia Tech,Big 12,ACC,1946,1947-01-01,Wed,Sun Bowl,18,6,36615,38193,36030,65632,64733,61137,96,99
Tulsa,Texas Tech,American,Big 12,1941,1942-01-01,Thu,Sun Bowl,6,0,20411,20187,18170,58623,54491,54643,68,97
Utah,New Mexico,Big 12,Mountain West,1938,1939-01-02,Mon,Sun Bowl,26,0,52962,52499,49833,16001,15982,15923,102,40
West Virginia,Texas Tech,Big 12,Big 12,1937,1938-01-01,Sat,Sun Bowl,7,6,52459,51156,52892,58623,54491,54643,87,97
Texas Tech,Duke,Big 12,ACC,1989,1989-12-28,Thu,All-American Bowl,49,21,58623,54491,54643,26183,25111,23499,97,74
Florida,Illinois,SEC,Big Ten,1988,1988-12-29,Thu,All-American Bowl,14,10,90017,89587,85791,54750,49698,40166,101,90
Georgia Tech,Michigan State,ACC,Big Ten,1985,1985-12-31,Tue,All-American Bowl,17,14,38216,36290,39223,65307,70211,69959,69,87
Kentucky,Wisconsin,SEC,Big Ten,1984,1984-12-29,Sat,All-American Bowl,20,19,59516,60939,57155,76057,75391,75328,97,100
West Virginia,Kentucky,Big 12,SEC,1983,1983-12-22,Thu,All-American Bowl,20,16,52459,51156,52892,59516,60939,57155,87,97
Arkansas,Tulane,SEC,American,1980,1980-12-27,Sat,All-American Bowl,34,15,73392,65317,62914,23980,25021,19648,96,79
Missouri,South Carolina,SEC,SEC,1979,1979-12-29,Sat,All-American Bowl,24,14,62621,60169,53367,79329,77833,74988,101,102
Texas A&M,Iowa State,SEC,Big 12,1978,1978-12-20,Wed,All-American Bowl,28,12,102847,99234,100156,57884,60384,58847,100,94
Maryland,Minnesota,Big Ten,Big Ten,1977,1977-12-22,Thu,All-American Bowl,17,7,36040,40314,36345,47467,48453,44743,69,93
Boston College,Arizona State,ACC,Big 12,2000,2000-12-25,Mon,Aloha Classic,31,17,39839,36376,35734,48984,48301,47262,89,87
Wake Forest,Arizona State,ACC,Big 12,1999,1999-12-25,Sat,Aloha Classic,23,3,29737,30609,28645,48984,48301,47262,94,87
Colorado,Oregon,Big 12,Big Ten,1998,1998-12-25,Fri,Aloha Classic,51,43,52514,53180,47579,59104,55895,53384,104,109
Washington,Michigan State,Big Ten,Big Ten,1997,1997-12-25,Thu,Aloha Classic,51,23,68865,68814,66220,65307,70211,69959,98,87
Navy,California,American,ACC,1996,1996-12-25,Wed,Aloha Classic,42,38,39825,30804,32300,39173,38684,39992,117,62
Boston College,Kansas State,ACC,Big 12,1994,1994-12-25,Sun,Aloha Classic,12,7,39839,36376,35734,51536,51957,49609,89,103
Colorado,Fresno State,Big 12,Mountain West,1993,1993-12-25,Sat,Aloha Classic,41,30,52514,53180,47579,40600,39969,35095,104,98
Georgia Tech,Stanford,ACC,ACC,1991,1991-12-25,Wed,Aloha Classic,18,17,38216,36290,39223,26035,33219,34746,69,51
Syracuse,Arizona,ACC,Big 12,1990,1990-12-25,Tue,Aloha Classic,28,0,39130,34045,37308,46747,47320,42279,79,83
Michigan State,Hawaii,Big Ten,Mountain West,1989,1989-12-25,Mon,Aloha Classic,33,13,65307,70211,69959,12963,11251,14380,87,76
Washington State,Houston,Pac-12,Big 12,1988,1988-12-25,Sun,Aloha Classic,24,22,22413,28023,27211,27423,36020,28369,69,68
UCLA,Florida,Big Ten,SEC,1987,1987-12-25,Fri,Aloha Classic,20,16,46805,47951,46075,90017,89587,85791,51,101
Arizona,North Carolina,Big 12,ACC,1986,1986-12-27,Sat,Aloha Classic,30,21,46747,47320,42279,47686,50095,48019,83,94
Penn State,Washington,Big Ten,Big Ten,1983,1983-12-26,Mon,Aloha Classic,13,10,108379,108409,106750,68865,68814,66220,101,98
Washington,Maryland,Big Ten,Big Ten,1982,1982-12-25,Sat,Aloha Classic,21,20,68865,68814,66220,36040,40314,36345,98,69
Ball State,San Jose State,MAC,Mountain West,2020,2020-12-31,Thu,Arizona Bowl,34,13,9841,10771,10830,16058,16804,15665,43,87
Wyoming,Georgia State,Mountain West,Sun Belt,2019,2019-12-31,Tue,Arizona Bowl,38,17,21937,23163,21277,14431,15594,16099,75,57
Nevada,Arkansas State,Mountain West,Sun Belt,2018,2018-12-29,Sat,Arizona Bowl,16,13,17419,16998,17368,17871,16747,16745,64,57
New Mexico State,Utah State,C-USA,Mountain West,2017,2017-12-29,Fri,Arizona Bowl,26,20,14350,14847,14667,16992,19282,19188,47,66
Nevada,Colorado State,Mountain West,Mountain West,2015,2015-12-29,Tue,Arizona Bowl,28,23,17419,16998,17368,33082,26509,26668,64,80
New Mexico,Western Michigan,Mountain West,MAC,1961,1961-12-09,Sat,Aviation Bowl,28,12,16001,15982,15923,19217,17619,16560,40,63
Alabama,Notre Dame,SEC,Independent,2012,2013-01-07,Mon,BCS Championship,42,14,100077,100077,100091,77622,77622,76108,100,100
Auburn,Oregon,SEC,Big Ten,2010,2011-01-10,Mon,BCS Championship,22,19,88043,88043,85924,59104,55895,53384,100,109
Alabama,Texas,SEC,SEC,2009,2010-01-07,Thu,BCS Championship,37,21,100077,100077,100091,102386,101625,97565,100,102
Florida,Oklahoma,SEC,SEC,2008,2009-01-08,Thu,BCS Championship,24,14,90017,89587,85791,83513,83741,83073,101,104
Florida,Ohio State,SEC,Big Ten,2006,2007-01-08,Mon,BCS Championship,41,14,90017,89587,85791,104216,103792,102108,101,101
Kentucky,Virginia Tech,SEC,ACC,2019,2019-12-31,Tue,Belk Bowl,37,30,59516,60939,57155,65632,64733,61137,97,99
Virginia,South Carolina,ACC,SEC,2018,2018-12-29,Sat,Belk Bowl,28,0,38999,43293,42796,79329,77833,74988,63,102
Wake Forest,Texas A&M,ACC,SEC,2017,2017-12-29,Fri,Belk Bowl,55,52,29737,30609,28645,102847,99234,100156,94,100
Virginia Tech,Arkansas,ACC,SEC,2016,2016-12-29,Thu,Belk Bowl,35,24,65632,64733,61137,73392,65317,62914,99,96
Georgia,Louisville,SEC,ACC,2014,2014-12-30,Tue,Belk Bowl,37,14,93033,92746,92760,50863,51252,47415,100,83
North Carolina,Cincinnati,ACC,Big 12,2013,2013-12-28,Sat,Belk Bowl,39,17,47686,50095,48019,36615,38193,36030,94,96
Cincinnati,Duke,Big 12,ACC,2012,2012-12-27,Thu,Belk Bowl,48,34,36615,38193,36030,26183,25111,23499,96,74
South Florida,Clemson,American,ACC,2010,2010-12-31,Fri,Belk Bowl,31,26,31424,37944,34281,80806,81334,80557,47,99
Pittsburgh,North Carolina,ACC,ACC,2009,2009-12-26,Sat,Belk Bowl,19,17,53077,48122,46653,47686,50095,48019,77,94
West Virginia,North Carolina,Big 12,ACC,2008,2008-12-27,Sat,Belk Bowl,31,30,52459,51156,52892,47686,50095,48019,87,94
Boston College,Navy,ACC,American,2006,2006-12-30,Sat,Belk Bowl,25,24,39839,36376,35734,39825,30804,32300,89,117
Boston College,North Carolina,ACC,ACC,2004,2004-12-30,Thu,Belk Bowl,37,24,39839,36376,35734,47686,50095,48019,89,94
Virginia,Pittsburgh,ACC,ACC,2003,2003-12-27,Sat,Belk Bowl,23,16,38999,43293,42796,53077,48122,46653,63,77
Virginia,West Virginia,ACC,Big 12,2002,2002-12-28,Sat,Belk Bowl,48,22,38999,43293,42796,52459,51156,52892,63,87
Texas,Pittsburgh,SEC,ACC,1987,1987-12-31,Thu,Bluebonnet Bowl,32,27,102386,101625,97565,53077,48122,46653,102,77
Baylor,Colorado,Big 12,Big 12,1986,1986-12-31,Wed,Bluebonnet Bowl,21,9,42302,43388,44087,52514,53180,47579,93,104
Oklahoma State,Baylor,Big 12,Big 12,1983,1983-12-31,Sat,Bluebonnet Bowl,24,14,52202,53891,53999,42302,43388,44087,100,93
Arkansas,Florida,SEC,SEC,1982,1982-12-31,Fri,Bluebonnet Bowl,28,24,73392,65317,62914,90017,89587,85791,96,101
Michigan,UCLA,Big Ten,Big Ten,1981,1981-12-31,Thu,Bluebonnet Bowl,33,14,110548,109971,110235,46805,47951,46075,102,51
North Carolina,Texas,ACC,SEC,1980,1980-12-31,Wed,Bluebonnet Bowl,16,7,47686,50095,48019,102386,101625,97565,94,102
Purdue,Tennessee,Big Ten,SEC,1979,1979-12-31,Mon,Bluebonnet Bowl,27,22,59887,58248,55370,101915,101915,93936,97,100
Stanford,Georgia,ACC,SEC,1978,1978-12-31,Sun,Bluebonnet Bowl,25,22,26035,33219,34746,93033,92746,92760,51,100
Nebraska,Texas Tech,Big Ten,Big 12,1976,1976-12-31,Fri,Bluebonnet Bowl,27,24,86900,86802,87599,58623,54491,54643,101,97
